brazo,condicion,realizacion,semilla_base,semilla,puntuacion
V_PAPER,a,ruido_b,20260831,200016,0.651945613460839
V_PAPER,a,ruido_b,20260831,200017,0.707852522083756
V_PAPER,a,ruido_b,20260831,200018,1.0
V_PAPER,a,ruido_b,20260831,200019,1.0
V_PAPER,a,ruido_b,20260831,200020,0.997204581143237
V_PAPER,a,ruido_b,20260831,200021,1.0
V_PAPER,a,ruido_b,20260831,200022,1.0
V_PAPER,a,ruido_b,20260831,200023,0.977953272164895
V_PAPER,a,ruido_b,20260831,200024,0.996353652239556
V_PAPER,a,ruido_b,20260831,200025,0.975472180829784
V_PAPER,a,ruido_b,20260831,200026,0.983834605577768
V_PAPER,a,ruido_b,20260831,200027,0.708527536948683
V_PAPER,a,ruido_b,20260831,200028,1.0
V_PAPER,a,ruido_b,20260831,200029,0.971466005627072
V_PAPER,a,ruido_b,20260831,200030,0.447981063142316
V_PAPER,a,ruido_b,20260831,200031,0.981297471024386
V_PAPER,a,ruido_b,20260831,200032,0.649458772340072
V_PAPER,a,ruido_b,20260831,200033,1.0
V_PAPER,a,ruido_b,20260831,200034,1.0
V_PAPER,a,ruido_b,20260831,200035,0.98739683900002
V_PAPER,a,ruido_b,20260831,200036,1.0
V_PAPER,a,ruido_b,20260831,200037,0.698518196832188
V_PAPER,a,ruido_b,20260831,200038,0.64403701688275
V_PAPER,a,ruido_b,20260831,200039,1.0
V_PAPER,a,ruido_b,20260831,200040,0.616130361731655
V_PAPER,a,ruido_b,20260831,200041,1.0
V_PAPER,a,ruido_b,20260831,200042,0.854821559857716
V_PAPER,a,ruido_b,20260831,200043,1.0
V_PAPER,a,ruido_b,20260831,200044,1.0
V_PAPER,a,ruido_b,20260831,200045,0.989823504597526
V_PAPER,a,ruido_b,20260831,200046,1.0
V_PAPER,a,ruido_b,20260831,200047,1.0
V_PAPER,a,ruido_b,20260831,200048,1.0
V_PAPER,a,ruido_b,20260831,200049,0.00392250381114464
V_PAPER,b,prueba,20260827,200000,0.558684160311667
V_PAPER,b,prueba,20260827,200001,0.991561858246353
V_PAPER,b,prueba,20260827,200002,0.540230920396468
V_PAPER,b,prueba,20260827,200003,0.618181089045474
V_PAPER,b,prueba,20260827,200004,0.544476002784689
V_PAPER,b,prueba,20260827,200005,0.582293725646285
V_PAPER,b,prueba,20260827,200006,1.0
V_PAPER,b,prueba,20260827,200007,0.700186699987899
V_PAPER,b,prueba,20260827,200008,0.999819796478513
V_PAPER,b,prueba,20260827,200009,0.98271269763362
V_PAPER,b,prueba,20260827,200010,0.709913783463449
V_PAPER,b,prueba,20260827,200011,0.714755081302473
V_PAPER,b,prueba,20260827,200012,0.614348443267118
V_PAPER,b,prueba,20260827,200013,1.0
V_PAPER,b,prueba,20260827,200014,0.9580252491062
